ipc_date,analysis_period,county,max_ipc_phase,phase_3_plus_population,total_population,phase_3_plus_percentage,rainfall_date,mean_rainfall_mm,rainfall_3_month_total,rainfall_6_month_total,rainfall_3_month_avg,rainfall_6_month_avg,date,mean_ndvi,ndvi_1_month_mean,ndvi_3_month_mean,ndvi_6_month_mean,ndvi_anomaly
2020-08-01,Aug 2020,Turkana,3,92698,926976,0.1,2020-07-01,15.615658,51.64647483825684,158.68597650527954,17.215491612752277,26.447662750879925,2020-07-01,0.3210062738923402,0.3210062738923402,0.3250228339655656,0.3161426636878331,0.0595544319142373
2020-08-01,Aug 2020,Wajir,3,117189,781260,0.15,2020-07-01,4.33127,13.402165055274963,206.89808905124664,4.467388351758321,34.48301484187444,2020-07-01,0.2580461162318886,0.2580461162318886,0.3092687782423922,0.3113539304155341,0.0278836877677291
2020-08-01,Aug 2020,West Pokot,2,0,621241,0.0,2020-07-01,75.69405,190.2865295410156,373.4214706420898,63.42884318033854,62.23691177368164,2020-07-01,0.6273798615182063,0.6273798615182063,0.6415852497650942,0.6054075028542757,0.067514805395449
2021-02-01,Feb 2021,Baringo,3,66678,666783,0.1,2021-01-01,16.134064,73.50382232666016,256.1585922241211,24.50127410888672,42.69309870402018,2021-01-01,0.4484525784770016,0.4484525784770016,0.5267077469840319,0.5797144455199463,-0.00607794763182
2021-02-01,Feb 2021,Embu,2,0,272357,0.0,2021-01-01,12.597846,119.23083019256592,167.03768634796145,39.74361006418864,27.839614391326904,2021-01-01,0.7778609047819075,0.7778609047819075,0.7810686326993016,0.7415639501789976,0.0090634756022851
2021-02-01,Feb 2021,Garissa,4,126203,841353,0.15,2021-01-01,2.1492,44.30285692214966,64.77336430549622,14.767618974049888,10.795560717582704,2021-01-01,0.3098679555065782,0.3098679555065782,0.3936599926134119,0.3215954006287455,-0.0320081850572032
2021-02-01,Feb 2021,Isiolo,4,40200,268002,0.15,2021-01-01,3.6857092,29.82905220985413,46.165227353572845,9.943017403284708,7.694204558928807,2021-01-01,0.2368506624283264,0.2368506624283264,0.312677967205592,0.2729695733196329,-0.0523738253902897
2021-02-01,Feb 2021,Kajiado,3,55892,1117840,0.05,2021-01-01,18.116121,90.27786254882812,100.92001140117644,30.09262084960937,16.820001900196075,2021-01-01,0.4419635773291543,0.4419635773291543,0.4230571206571745,0.3700039040143199,-0.0290674808645428
2021-02-01,Feb 2021,Kilifi,3,145379,1453787,0.1,2021-01-01,7.2916174,135.79678630828855,194.63126468658447,45.26559543609619,32.43854411443075,2021-01-01,0.4430252702766991,0.4430252702766991,0.5524748730035836,0.5457079854637297,-0.0651283526517914
2021-02-01,Feb 2021,Kitui,3,56809,1136187,0.05,2021-01-01,6.6453595,151.3740429878235,174.29144763946533,50.4580143292745,29.04857460657756,2021-01-01,0.515674432903028,0.515674432903028,0.5956144601926358,0.4652392678085008,-0.0408553717819406
2021-02-01,Feb 2021,Kwale,3,86682,866820,0.1,2021-01-01,20.544456,155.83433151245117,240.1957950592041,51.944777170817055,40.03263250986735,2021-01-01,0.5774833438211938,0.5774833438211938,0.643994555291287,0.5594773847358868,0.0201657682205481
2021-02-01,Feb 2021,Laikipia,3,25928,518560,0.05,2021-01-01,20.666714,75.1798095703125,202.38197708129883,25.0599365234375,33.730329513549805,2021-01-01,0.4228093954558588,0.4228093954558588,0.4933410548902722,0.511648158147804,-0.0248565533123843
2021-02-01,Feb 2021,Lamu,3,21588,143920,0.15,2021-01-01,2.6676986,44.47699141502381,78.13719439506531,14.825663805007936,13.022865732510883,2021-01-01,0.5522287615928159,0.5522287615928159,0.6072023408419019,0.6218560830366827,-0.0809291091307699
2021-02-01,Feb 2021,Makueni,3,49383,987653,0.05,2021-01-01,5.782452,102.88642930984496,113.66902661323547,34.29547643661499,18.944837768872578,2021-01-01,0.6582049844214845,0.6582049844214845,0.6446621274137047,0.4984964366906311,0.0301904552927844
2021-02-01,Feb 2021,Mandera,4,173492,867457,0.2,2021-01-01,1.0686378,22.54974365234375,45.30333197116852,7.516581217447917,7.550555328528087,2021-01-01,0.2679477437206137,0.2679477437206137,0.3403802203254439,0.322020469193682,-0.0495824426917719
2021-02-01,Feb 2021,Marsabit,4,68968,459785,0.15,2021-01-01,3.3086882,36.707486152648926,72.20207214355469,12.235828717549644,12.033678690592447,2021-01-01,0.1938399288898225,0.1938399288898225,0.2051200569072168,0.1984738834124888,-0.0306067368716279
2021-02-01,Feb 2021,Meru,3,51349,1026975,0.05,2021-01-01,18.40076,140.1551971435547,214.91509628295896,46.71839904785156,35.8191827138265,2021-01-01,0.6051265956330301,0.6051265956330301,0.6498540160138657,0.5704152693610202,-0.0237833306066006
2021-02-01,Feb 2021,Narok,2,0,1157873,0.0,2021-01-01,31.17004,146.83847618103027,250.977767944336,48.94615872701009,41.829627990722656,2021-01-01,0.6124563371477691,0.6124563371477691,0.581822283044222,0.5501990793485222,0.0189618629643721
2021-02-01,Feb 2021,Nyeri,2,0,198901,0.0,2021-01-01,48.87947,164.3302116394043,317.3883743286133,54.776737213134766,52.89806238810221,2021-01-01,0.7259513646235648,0.7259513646235648,0.7389584756482382,0.7054181219842749,-0.0093441714300531
2021-02-01,Feb 2021,Samburu,4,46549,310327,0.15,2021-01-01,7.5118756,48.773043155670166,103.0499415397644,16.257681051890057,17.1749902566274,2021-01-01,0.3396192907768508,0.3396192907768508,0.3973405986446006,0.3890902602061802,-0.033713824034618
2021-02-01,Feb 2021,Taita Taveta,3,17034,340671,0.05,2021-01-01,22.95854,162.54395484924316,197.01413917541504,54.181318283081055,32.835689862569176,2021-01-01,0.5390034906866558,0.5390034906866558,0.5584770171077332,0.4362877176371546,0.02114680515757
2021-02-01,Feb 2021,Tana River,4,47391,315943,0.15,2021-01-01,3.566226,71.85552883148193,92.1875147819519,23.951842943827312,15.364585796991983,2021-01-01,0.3158950835742248,0.3158950835742248,0.4158326435140035,0.3479798420675608,-0.0478362780291587
2021-02-01,Feb 2021,Tharaka Nithi,3,20039,133595,0.15,2021-01-01,10.969319,111.30328845977785,152.36480617523193,37.10109615325928,25.39413436253865,2021-01-01,0.5285560305057598,0.5285560305057598,0.5718407822011827,0.4647883153841026,-0.0109133108699381
2021-02-01,Feb 2021,Turkana,4,185395,926976,0.2,2021-01-01,2.6523874,26.91578459739685,75.37186121940613,8.971928199132284,12.561976869901022,2021-01-01,0.2345375366136563,0.2345375366136563,0.275768569392926,0.2950492730828143,0.0061982488578334
2021-02-01,Feb 2021,Wajir,4,78126,781263,0.1,2021-01-01,1.8664397,41.295098185539246,62.63428115844727,13.765032728513082,10.439046859741213,2021-01-01,0.2613214034985879,0.2613214034985879,0.3466994947059812,0.2896679620667564,-0.0343505009072941
2021-02-01,Feb 2021,West Pokot,3,62124,621241,0.1,2021-01-01,8.815003,53.38715934753418,254.8398723602295,17.795719782511394,42.473312060038246,2021-01-01,0.4586444322610636,0.4586444322610636,0.5350118624069298,0.5876703103638219,0.0135769497217842
2021-07-01,Jul 2021,Baringo,4,133356,666783,0.2,2021-06-01,29.043015,160.89259338378906,203.7890567779541,53.63086446126302,33.964842796325684,2021-06-01,0.4882197378848281,0.4882197378848281,0.509507781233361,0.4606469271845985,-0.0785386436841438
2021-07-01,Jul 2021,Embu,3,27236,272357,0.1,2021-06-01,2.7308848,163.76116585731506,212.00760197639465,54.58705528577169,35.33460032939911,2021-06-01,0.6983787122810886,0.6983787122810886,0.7509124359616338,0.7441829699475861,-0.0385031476463425
2021-07-01,Jul 2021,Garissa,4,168271,841353,0.2,2021-06-01,7.7101912,43.10900259017944,52.91495013237,14.369667530059814,8.819158355394999,2021-06-01,0.2394552037463422,0.2394552037463422,0.2458392157892304,0.2568061768476409,-0.0196542798626091
2021-07-01,Jul 2021,Isiolo,4,107201,268002,0.4,2021-06-01,0.21956387,23.62158051133156,37.11994233727455,7.8738601704438524,6.186657056212425,2021-06-01,0.2034783741870469,0.2034783741870469,0.2283491214609992,0.2241642056762021,-0.0456864773649599
2021-07-01,Jul 2021,Kajiado,3,55892,1117840,0.05,2021-06-01,1.6658367,88.11810719966888,143.6340116262436,29.37270239988963,23.939001937707264,2021-06-01,0.4035496103026278,0.4035496103026278,0.4452589439386488,0.4567450290489133,-0.0061689757522664
2021-07-01,Jul 2021,Kilifi,3,145379,1453787,0.1,2021-06-01,31.775717,118.9830150604248,140.53124570846558,39.6610050201416,23.421874284744263,2021-06-01,0.4218542525837935,0.4218542525837935,0.4333387047175132,0.4213576617905212,-0.0758055021648976
2021-07-01,Jul 2021,Kitui,3,113619,1136187,0.1,2021-06-01,1.5789114,94.87356054782867,122.29657757282256,31.62452018260956,20.38276292880376,2021-06-01,0.3286624997221624,0.3286624997221624,0.4011472746572633,0.4215075293200836,-0.0588805051781471
2021-07-01,Jul 2021,Kwale,3,86682,866820,0.1,2021-06-01,25.873672,152.5838623046875,195.45623016357425,50.86128743489584,32.5760383605957,2021-06-01,0.4065206022528064,0.4065206022528064,0.5033286724311686,0.4996729724286495,-0.0817117422744395
2021-07-01,Jul 2021,Laikipia,3,25928,518560,0.05,2021-06-01,10.902432,115.15457248687744,177.99350452423096,38.384857495625816,29.665584087371823,2021-06-01,0.4090901691651151,0.4090901691651151,0.4283678282214009,0.4103471439245509,-0.0961957406881895
2021-07-01,Jul 2021,Lamu,3,14392,143920,0.1,2021-06-01,40.175186,90.16004180908205,101.2624683380127,30.05334726969401,16.87707805633545,2021-06-01,0.6566773671391576,0.6566773671391576,0.5883459365183369,0.5452472240293401,-0.0819512798110417
2021-07-01,Jul 2021,Makueni,3,98765,987653,0.1,2021-06-01,1.3389118,56.70486903190613,86.08371567726135,18.901623010635376,14.347285946210226,2021-06-01,0.392604380076289,0.392604380076289,0.464210691609279,0.5162204477483553,-0.0675680714047798
2021-07-01,Jul 2021,Mandera,4,173492,867457,0.2,2021-06-01,1.005475,81.27141284942627,89.31093764305115,27.09047094980876,14.885156273841858,2021-06-01,0.2825772909368247,0.2825772909368247,0.382238245139088,0.3197986746941151,-0.0256503321893514
2021-07-01,Jul 2021,Marsabit,4,160925,459785,0.35,2021-06-01,1.5479752,55.87490808963776,77.74545967578888,18.624969363212585,12.95757661263148,2021-06-01,0.1880977189388825,0.1880977189388825,0.1986610490477326,0.1953620124087531,-0.0253083872347161
2021-07-01,Jul 2021,Meru,3,38244,764885,0.05,2021-06-01,2.8676302,159.49935173988342,215.48624730110168,53.16645057996114,35.91437455018362,2021-06-01,0.4845569601127265,0.4845569601127265,0.535300005505808,0.5403044952489098,-0.0467381082681953
2021-07-01,Jul 2021,Narok,3,57894,1157873,0.05,2021-06-01,20.283321,177.38286972045898,288.96369552612305,59.12762324015299,48.16061592102051,2021-06-01,0.5714166008735513,0.5714166008735513,0.6215374001589832,0.6115747571761253,-0.0363496494532932
2021-07-01,Jul 2021,Nyeri,3,9945,198901,0.05,2021-06-01,11.621278,215.14762210845947,337.48378467559814,71.71587403615315,56.24729744593302,2021-06-01,0.6704969677951395,0.6704969677951395,0.692413473611411,0.6979367849834981,-0.0234462633679672
