date,year,month,county,mean_rainfall_mm,source_file
2019-11-01,2019,11,Narok,85.067375,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Nyeri,144.21953,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Samburu,70.9377,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Taita Taveta,100.42632,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Tana River,101.594734,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Tharaka Nithi,159.94975,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Turkana,20.409796,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,Wajir,144.47162,chirps-v2.0.2019.11.tif
2019-11-01,2019,11,West Pokot,38.439434,chirps-v2.0.2019.11.tif
2019-12-01,2019,12,Baringo,58.612846,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Embu,98.06097,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Garissa,34.55174,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Isiolo,30.016506,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Kajiado,105.76151,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Kilifi,76.80056,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Kitui,141.61766,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Kwale,86.515656,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Laikipia,70.89974,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Lamu,38.474434,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Makueni,91.78771,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Mandera,19.75537,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Marsabit,33.156853,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Meru,112.81268,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Narok,129.87831,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Nyeri,110.37703,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Samburu,55.57609,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Taita Taveta,126.62339,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Tana River,77.342606,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Tharaka Nithi,86.38639,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Turkana,27.465464,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,Wajir,25.765354,chirps-v2.0.2019.12.tif
2019-12-01,2019,12,West Pokot,33.698433,chirps-v2.0.2019.12.tif
2020-01-01,2020,1,Baringo,20.164928,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Embu,33.925316,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Garissa,17.585268,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Isiolo,12.530038,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Kajiado,50.87979,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Kilifi,26.058813,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Kitui,35.35431,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Kwale,40.58203,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Laikipia,29.32322,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Lamu,16.551762,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Makueni,36.09556,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Mandera,0.91201055,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Marsabit,11.450822,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Meru,45.020275,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Narok,80.73269,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Nyeri,55.162937,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Samburu,15.946117,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Taita Taveta,61.320457,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Tana River,23.50224,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Tharaka Nithi,33.328873,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Turkana,5.7834115,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,Wajir,6.853437,chirps-v2.0.2020.01.tif
2020-01-01,2020,1,West Pokot,11.866655,chirps-v2.0.2020.01.tif
2020-02-01,2020,2,Baringo,13.084544,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Embu,21.696774,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Garissa,3.5605633,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Isiolo,5.2746415,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Kajiado,22.090315,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Kilifi,5.100023,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Kitui,16.646929,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Kwale,9.478705,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Laikipia,23.2581,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Lamu,1.799038,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Makueni,17.383804,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Mandera,1.5480838,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Marsabit,6.874012,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Meru,29.767908,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Narok,36.15679,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Nyeri,40.291264,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Samburu,15.278861,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Taita Taveta,16.194191,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Tana River,4.6478734,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Tharaka Nithi,19.35815,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Turkana,6.8756375,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,Wajir,2.9665585,chirps-v2.0.2020.02.tif
2020-02-01,2020,2,West Pokot,11.864861,chirps-v2.0.2020.02.tif
2020-03-01,2020,3,Baringo,79.03617,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Embu,59.392467,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Garissa,23.511753,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Isiolo,23.891497,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Kajiado,80.075714,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Kilifi,46.684307,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Kitui,82.59394,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Kwale,57.09212,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Laikipia,68.803764,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Lamu,25.221916,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Makueni,52.080154,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Mandera,21.89601,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Marsabit,41.880077,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Meru,62.287704,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Narok,120.113434,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Nyeri,95.96009,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Samburu,56.49298,chirps-v2.0.2020.03.tif
2020-03-01,2020,3,Taita Taveta,102.90118,chirps-v2.0.2020.03.tif
